Benchmark,Preprocessor,Solver,Timeout,Command,Ingest Duration (ns),Preprocess Duration (ns),SAT Solver Duration (ns),Theory Solver Duration (ns),Graph Overhead Duration (ns),Learn Overhead Duration (ns),Solver Calls,Theory Solver Loops,,,,,,,
bench/diamonds/diamonds.18.10.i.a.u.smt2,tie-quad,bf-full,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='bf-full' --stats --csv --timeout='10m' bench/diamonds/diamonds.18.10.i.a.u.smt2,15101141,48247,4306050461,590072223736,5175259069,432929144,"24,153","3,638,232,404",,0.015,0.000,4.306,590.072,5.175,0.433
bench/diamonds/diamonds.18.10.i.a.u.smt2,tie-quad,spfa-basic,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='spfa-basic' --stats --csv --timeout='10m' bench/diamonds/diamonds.18.10.i.a.u.smt2,12152687,42448,4229816218,589961168950,5367141163,408903130,"28,034","3,166,118,091",,0.012,0.000,4.230,589.961,5.367,0.409
bench/diamonds/diamonds.18.10.i.a.u.smt2,tie-quad,spfa-full,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='spfa-full' --stats --csv --timeout='10m' bench/diamonds/diamonds.18.10.i.a.u.smt2,13570943,43655,415268570464,63802920089,43938738133,3414828067,"262,145","959,796,850",,0.014,0.000,415.269,63.803,43.939,3.415
bench/diamonds/diamonds.18.10.i.a.u.smt2,tie-quad,tarjan,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='tarjan' --stats --csv --timeout='10m' bench/diamonds/diamonds.18.10.i.a.u.smt2,14870160,49579,413051968592,114388912632,47201310474,3884065818,"262,145","425,219,949",,0.015,0.000,413.052,114.389,47.201,3.884
,,,,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='nil' --solver='tarjan' --stats --csv --timeout='0' bench/mathsat/fischer/FISCHER14-15-ninc.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='t-lin' --solver='tarjan' --stats --csv --timeout='0' bench/mathsat/fischer/FISCHER14-15-ninc.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='t-quad' --solver='tarjan' --stats --csv --timeout='0' bench/mathsat/fischer/FISCHER14-15-ninc.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-lin' --solver='tarjan' --stats --csv --timeout='0' bench/mathsat/fischer/FISCHER14-15-ninc.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='bf-basic' --stats --csv --timeout='0' bench/mathsat/fischer/FISCHER14-15-ninc.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='bf-full' --stats --csv --timeout='0' bench/mathsat/fischer/FISCHER14-15-ninc.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='spfa-basic' --stats --csv --timeout='0' bench/mathsat/fischer/FISCHER14-15-ninc.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='spfa-full' --stats --csv --timeout='0' bench/mathsat/fischer/FISCHER14-15-ninc.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='tarjan' --stats --csv --timeout='0' bench/mathsat/fischer/FISCHER14-15-ninc.smt2,,,,,,,,,,,,,,,
bench/mathsat/fischer/FISCHER14-15-ninc.smt2,nil,tarjan,0,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='nil' --solver='tarjan' --stats --csv --timeout='0' bench/mathsat/fischer/FISCHER14-15-ninc.smt2,2434656265,220,2058586017,2697860,7132117,22889728,31,24887,,2.435,0.000,2.059,0.003,0.007,0.023
bench/mathsat/fischer/FISCHER14-15-ninc.smt2,t-lin,tarjan,0,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='t-lin' --solver='tarjan' --stats --csv --timeout='0' bench/mathsat/fischer/FISCHER14-15-ninc.smt2,2291689172,42349,16073076,93483,173152,0,1,898,,2.292,0.000,0.016,0.000,0.000,0.000
bench/mathsat/fischer/FISCHER14-15-ninc.smt2,t-quad,tarjan,0,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='t-quad' --solver='tarjan' --stats --csv --timeout='0' bench/mathsat/fischer/FISCHER14-15-ninc.smt2,2403369415,47262,17261682,83362,173195,0,1,898,,2.403,0.000,0.017,0.000,0.000,0.000
bench/mathsat/fischer/FISCHER14-15-ninc.smt2,tie-lin,tarjan,0,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-lin' --solver='tarjan' --stats --csv --timeout='0' bench/mathsat/fischer/FISCHER14-15-ninc.smt2,2392181580,456162,20994653,94860,196309,0,1,898,,2.392,0.000,0.021,0.000,0.000,0.000
bench/mathsat/fischer/FISCHER14-15-ninc.smt2,tie-quad,bf-basic,0,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='bf-basic' --stats --csv --timeout='0' bench/mathsat/fischer/FISCHER14-15-ninc.smt2,2463498966,356771,16747375,13430277,166037,0,1,215520,,2.463,0.000,0.017,0.013,0.000,0.000
bench/mathsat/fischer/FISCHER14-15-ninc.smt2,tie-quad,bf-full,0,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='bf-full' --stats --csv --timeout='0' bench/mathsat/fischer/FISCHER14-15-ninc.smt2,2294820238,339664,16462834,62493,158552,0,1,898,,2.295,0.000,0.016,0.000,0.000,0.000
bench/mathsat/fischer/FISCHER14-15-ninc.smt2,tie-quad,spfa-basic,0,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='spfa-basic' --stats --csv --timeout='0' bench/mathsat/fischer/FISCHER14-15-ninc.smt2,2342447497,360851,19534459,81968,174673,0,1,898,,2.342,0.000,0.020,0.000,0.000,0.000
bench/mathsat/fischer/FISCHER14-15-ninc.smt2,tie-quad,spfa-full,0,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='spfa-full' --stats --csv --timeout='0' bench/mathsat/fischer/FISCHER14-15-ninc.smt2,2437630811,354140,16985411,95455,158679,0,1,2338,,2.438,0.000,0.017,0.000,0.000,0.000
bench/mathsat/fischer/FISCHER14-15-ninc.smt2,tie-quad,tarjan,0,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='tarjan' --stats --csv --timeout='0' bench/mathsat/fischer/FISCHER14-15-ninc.smt2,2419996133,342878,16427215,71601,158535,0,1,898,,2.420,0.000,0.016,0.000,0.000,0.000
,,,,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='nil' --solver='tarjan' --stats --csv --timeout='0' bench/mathsat/post_office/PO4-11-PO4.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='t-lin' --solver='tarjan' --stats --csv --timeout='0' bench/mathsat/post_office/PO4-11-PO4.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='t-quad' --solver='tarjan' --stats --csv --timeout='0' bench/mathsat/post_office/PO4-11-PO4.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-lin' --solver='tarjan' --stats --csv --timeout='0' bench/mathsat/post_office/PO4-11-PO4.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='bf-basic' --stats --csv --timeout='0' bench/mathsat/post_office/PO4-11-PO4.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='bf-full' --stats --csv --timeout='0' bench/mathsat/post_office/PO4-11-PO4.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='spfa-basic' --stats --csv --timeout='0' bench/mathsat/post_office/PO4-11-PO4.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='spfa-full' --stats --csv --timeout='0' bench/mathsat/post_office/PO4-11-PO4.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='tarjan' --stats --csv --timeout='0' bench/mathsat/post_office/PO4-11-PO4.smt2,,,,,,,,,,,,,,,
bench/mathsat/post_office/PO4-11-PO4.smt2,nil,tarjan,0,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='nil' --solver='tarjan' --stats --csv --timeout='0' bench/mathsat/post_office/PO4-11-PO4.smt2,4293345861,201,370622987,4029501,4928676,47296044,102,27160,,4.293,0.000,0.371,0.004,0.005,0.047
bench/mathsat/post_office/PO4-11-PO4.smt2,t-lin,tarjan,0,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='t-lin' --solver='tarjan' --stats --csv --timeout='0' bench/mathsat/post_office/PO4-11-PO4.smt2,4386015043,20255,428282175,4812191,5403548,51972212,112,32089,,4.386,0.000,0.428,0.005,0.005,0.052
bench/mathsat/post_office/PO4-11-PO4.smt2,t-quad,tarjan,0,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='t-quad' --solver='tarjan' --stats --csv --timeout='0' bench/mathsat/post_office/PO4-11-PO4.smt2,4304097312,20417,366880549,4288519,4872751,46987678,102,28438,,4.304,0.000,0.367,0.004,0.005,0.047
bench/mathsat/post_office/PO4-11-PO4.smt2,tie-lin,tarjan,0,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-lin' --solver='tarjan' --stats --csv --timeout='0' bench/mathsat/post_office/PO4-11-PO4.smt2,3856971052,112388,208422384,3403072,3202594,26418616,63,20396,,3.857,0.000,0.208,0.003,0.003,0.026
bench/mathsat/post_office/PO4-11-PO4.smt2,tie-quad,bf-basic,0,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='bf-basic' --stats --csv --timeout='0' bench/mathsat/post_office/PO4-11-PO4.smt2,4335108328,139810,251524358,80908413,4417505,30918289,60,693068,,4.335,0.000,0.252,0.081,0.004,0.031
bench/mathsat/post_office/PO4-11-PO4.smt2,tie-quad,bf-full,0,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='bf-full' --stats --csv --timeout='0' bench/mathsat/post_office/PO4-11-PO4.smt2,4235252784,106274,230526095,72561800,3287984,29490094,68,786331,,4.235,0.000,0.231,0.073,0.003,0.029
bench/mathsat/post_office/PO4-11-PO4.smt2,tie-quad,spfa-basic,0,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='spfa-basic' --stats --csv --timeout='0' bench/mathsat/post_office/PO4-11-PO4.smt2,4357428721,109241,231811483,73903494,3382998,28653882,60,669785,,4.357,0.000,0.232,0.074,0.003,0.029
bench/mathsat/post_office/PO4-11-PO4.smt2,tie-quad,spfa-full,0,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='spfa-full' --stats --csv --timeout='0' bench/mathsat/post_office/PO4-11-PO4.smt2,4444463712,103278,260066653,3812561,3967622,38185400,81,91200,,4.444,0.000,0.260,0.004,0.004,0.038
bench/mathsat/post_office/PO4-11-PO4.smt2,tie-quad,tarjan,0,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='tarjan' --stats --csv --timeout='0' bench/mathsat/post_office/PO4-11-PO4.smt2,4234134163,110489,226050339,3256001,3081202,26586678,62,20228,,4.234,0.000,0.226,0.003,0.003,0.027
,,,,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='nil' --solver='tarjan' --stats --csv --timeout='10m' bench/parity/31.800.graph.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='t-lin' --solver='tarjan' --stats --csv --timeout='10m' bench/parity/31.800.graph.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='t-quad' --solver='tarjan' --stats --csv --timeout='10m' bench/parity/31.800.graph.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-lin' --solver='tarjan' --stats --csv --timeout='10m' bench/parity/31.800.graph.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='bf-basic' --stats --csv --timeout='10m' bench/parity/31.800.graph.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='bf-full' --stats --csv --timeout='10m' bench/parity/31.800.graph.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='spfa-basic' --stats --csv --timeout='10m' bench/parity/31.800.graph.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='spfa-full' --stats --csv --timeout='10m' bench/parity/31.800.graph.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='tarjan' --stats --csv --timeout='10m' bench/parity/31.800.graph.smt2,,,,,,,,,,,,,,,
bench/parity/31.800.graph.smt2,nil,tarjan,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='nil' --solver='tarjan' --stats --csv --timeout='10m' bench/parity/31.800.graph.smt2,8739976681,248,45847559843,338002028021,204374598914,11767422422,1316,418556995,,8.740,0.000,45.848,338.002,204.375,11.767
bench/parity/31.800.graph.smt2,t-lin,tarjan,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='t-lin' --solver='tarjan' --stats --csv --timeout='10m' bench/parity/31.800.graph.smt2,8451811177,2445011,46900708532,336308720796,204788760947,11727688789,1330,424027302,,8.452,0.002,46.901,336.309,204.789,11.728
bench/parity/31.800.graph.smt2,t-quad,tarjan,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='t-quad' --solver='tarjan' --stats --csv --timeout='10m' bench/parity/31.800.graph.smt2,8225941000,1942143,44174607794,337021150584,207039663875,11760952428,1295,412151304,,8.226,0.002,44.175,337.021,207.040,11.761
bench/parity/31.800.graph.smt2,tie-lin,tarjan,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-lin' --solver='tarjan' --stats --csv --timeout='10m' bench/parity/31.800.graph.smt2,8769068296,10014591,40989772311,347809079299,200334793185,10758858491,1262,429176124,,8.769,0.010,40.990,347.809,200.335,10.759
bench/parity/31.800.graph.smt2,tie-quad,bf-basic,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='bf-basic' --stats --csv --timeout='10m' bench/parity/31.800.graph.smt2,8167681320,10893336,22138165,0,113068068,0,1,877741565,,8.168,0.011,0.022,0.000,0.113,0.000
bench/parity/31.800.graph.smt2,tie-quad,bf-full,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='bf-full' --stats --csv --timeout='10m' bench/parity/31.800.graph.smt2,8166050216,11249029,23261512,0,105741848,0,1,915344553,,8.166,0.011,0.023,0.000,0.106,0.000
bench/parity/31.800.graph.smt2,tie-quad,spfa-basic,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='spfa-basic' --stats --csv --timeout='10m' bench/parity/31.800.graph.smt2,8709006060,12348049,22349511,0,198325137,0,1,920282174,,8.709,0.012,0.022,0.000,0.198,0.000
bench/parity/31.800.graph.smt2,tie-quad,spfa-full,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='spfa-full' --stats --csv --timeout='10m' bench/parity/31.800.graph.smt2,9318648720,14185279,55238444811,284687585100,244980027636,14870107112,1547,1358178801,,9.319,0.014,55.238,284.688,244.980,14.870
bench/parity/31.800.graph.smt2,tie-quad,tarjan,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='tarjan' --stats --csv --timeout='10m' bench/parity/31.800.graph.smt2,8961372662,14070303,40917337270,348957028932,198913157202,11151110767,1223,409797305,,8.961,0.014,40.917,348.957,198.913,11.151
,,,,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='nil' --solver='tarjan' --stats --csv --timeout='0' bench/planning/plan-49.cvc.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='t-lin' --solver='tarjan' --stats --csv --timeout='0' bench/planning/plan-49.cvc.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='t-quad' --solver='tarjan' --stats --csv --timeout='0' bench/planning/plan-49.cvc.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-lin' --solver='tarjan' --stats --csv --timeout='0' bench/planning/plan-49.cvc.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='bf-basic' --stats --csv --timeout='0' bench/planning/plan-49.cvc.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='bf-full' --stats --csv --timeout='0' bench/planning/plan-49.cvc.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='spfa-basic' --stats --csv --timeout='0' bench/planning/plan-49.cvc.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='spfa-full' --stats --csv --timeout='0' bench/planning/plan-49.cvc.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='tarjan' --stats --csv --timeout='0' bench/planning/plan-49.cvc.smt2,,,,,,,,,,,,,,,
bench/planning/plan-49.cvc.smt2,nil,tarjan,0,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='nil' --solver='tarjan' --stats --csv --timeout='0' bench/planning/plan-49.cvc.smt2,1446673000,283,14515850114,2570050487,3220885453,4304187192,"5,417","11,630,065",,1.447,0.000,14.516,2.570,3.221,4.304
bench/planning/plan-49.cvc.smt2,t-lin,tarjan,0,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='t-lin' --solver='tarjan' --stats --csv --timeout='0' bench/planning/plan-49.cvc.smt2,1237224439,622097,13199146625,2283623600,2900838021,3683054654,"4,367","10,127,253",,1.237,0.001,13.199,2.284,2.901,3.683
bench/planning/plan-49.cvc.smt2,t-quad,tarjan,0,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='t-quad' --solver='tarjan' --stats --csv --timeout='0' bench/planning/plan-49.cvc.smt2,1025657391,1136811,10980245585,1954818191,2377658546,3100465516,"3,722","8,560,882",,1.026,0.001,10.980,1.955,2.378,3.100
bench/planning/plan-49.cvc.smt2,tie-lin,tarjan,0,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-lin' --solver='tarjan' --stats --csv --timeout='0' bench/planning/plan-49.cvc.smt2,1349584980,80152306,7869586729,1617476363,1723502716,2096762250,"2,726","6,806,141",,1.350,0.080,7.870,1.617,1.724,2.097
bench/planning/plan-49.cvc.smt2,tie-quad,bf-basic,0,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='bf-basic' --stats --csv --timeout='0' bench/planning/plan-49.cvc.smt2,1137104039,84052443,18659332861,483524061360,3815388663,4430497683,"4,022","2,625,888,988",,1.137,0.084,18.659,483.524,3.815,4.430
bench/planning/plan-49.cvc.smt2,tie-quad,bf-full,0,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='bf-full' --stats --csv --timeout='0' bench/planning/plan-49.cvc.smt2,1141479694,4053644,18259079903,466166331959,3608400377,4165548753,"3,911","2,560,383,273",,1.141,0.004,18.259,466.166,3.608,4.166
bench/planning/plan-49.cvc.smt2,tie-quad,spfa-basic,0,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='spfa-basic' --stats --csv --timeout='0' bench/planning/plan-49.cvc.smt2,1138581591,85742596,48318166049,1051088467853,9562978965,11853298185,"9,863","5,488,883,778",,1.139,0.086,48.318,1051.088,9.563,11.853
bench/planning/plan-49.cvc.smt2,tie-quad,spfa-full,0,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='spfa-full' --stats --csv --timeout='0' bench/planning/plan-49.cvc.smt2,1029074038,3908616,12372289957,2018360443,2572285417,3170750150,"3,870","38,498,536",,1.029,0.004,12.372,2.018,2.572,3.171
bench/planning/plan-49.cvc.smt2,tie-quad,tarjan,0,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='tarjan' --stats --csv --timeout='0' bench/planning/plan-49.cvc.smt2,1135545328,3431145,8814711009,1609965489,1881492400,2225170135,"2,766","6,867,988",,1.136,0.003,8.815,1.610,1.881,2.225
,,,,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='nil' --solver='tarjan' --stats --csv --timeout='10m' bench/job_shop/jobshop60-2-30-30-4-4-12.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='t-lin' --solver='tarjan' --stats --csv --timeout='10m' bench/job_shop/jobshop60-2-30-30-4-4-12.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='t-quad' --solver='tarjan' --stats --csv --timeout='10m' bench/job_shop/jobshop60-2-30-30-4-4-12.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-lin' --solver='tarjan' --stats --csv --timeout='10m' bench/job_shop/jobshop60-2-30-30-4-4-12.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='bf-basic' --stats --csv --timeout='10m' bench/job_shop/jobshop60-2-30-30-4-4-12.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='bf-full' --stats --csv --timeout='10m' bench/job_shop/jobshop60-2-30-30-4-4-12.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='spfa-basic' --stats --csv --timeout='10m' bench/job_shop/jobshop60-2-30-30-4-4-12.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='spfa-full' --stats --csv --timeout='10m' bench/job_shop/jobshop60-2-30-30-4-4-12.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='tarjan' --stats --csv --timeout='10m' bench/job_shop/jobshop60-2-30-30-4-4-12.smt2,,,,,,,,,,,,,,,
bench/job_shop/jobshop60-2-30-30-4-4-12.smt2,nil,tarjan,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='nil' --solver='tarjan' --stats --csv --timeout='10m' bench/job_shop/jobshop60-2-30-30-4-4-12.smt2,516861007,224,160190934749,90507812163,308901804128,40366688383,"43,222","456,456,625",,0.517,0.000,160.191,90.508,308.902,40.367
bench/job_shop/jobshop60-2-30-30-4-4-12.smt2,t-lin,tarjan,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='t-lin' --solver='tarjan' --stats --csv --timeout='10m' bench/job_shop/jobshop60-2-30-30-4-4-12.smt2,520755531,217579,154581959700,95651437036,309478563050,40235706138,"45,849","506,108,098",,0.521,0.000,154.582,95.651,309.479,40.236
bench/job_shop/jobshop60-2-30-30-4-4-12.smt2,t-quad,tarjan,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='t-quad' --solver='tarjan' --stats --csv --timeout='10m' bench/job_shop/jobshop60-2-30-30-4-4-12.smt2,719945328,264913,157272620013,96051559106,306189959101,40430089276,"44,550","494,490,165",,0.720,0.000,157.273,96.052,306.190,40.430
bench/job_shop/jobshop60-2-30-30-4-4-12.smt2,tie-lin,tarjan,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-lin' --solver='tarjan' --stats --csv --timeout='10m' bench/job_shop/jobshop60-2-30-30-4-4-12.smt2,822678599,97154079,163217710837,92510474372,306153957140,38065155416,"44,218","482,100,485",,0.823,0.097,163.218,92.510,306.154,38.065
bench/job_shop/jobshop60-2-30-30-4-4-12.smt2,tie-quad,bf-basic,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='bf-basic' --stats --csv --timeout='10m' bench/job_shop/jobshop60-2-30-30-4-4-12.smt2,612527986,7565928,4357718453,583756822619,10478784843,1057356861,"1,283","3,380,463,490",,0.613,0.008,4.358,583.757,10.479,1.057
bench/job_shop/jobshop60-2-30-30-4-4-12.smt2,tie-quad,bf-full,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='bf-full' --stats --csv --timeout='10m' bench/job_shop/jobshop60-2-30-30-4-4-12.smt2,525525836,94118994,5022924066,583063216810,10479296110,1134546804,"1,281","3,365,834,647",,0.526,0.094,5.023,583.063,10.479,1.135
bench/job_shop/jobshop60-2-30-30-4-4-12.smt2,tie-quad,spfa-basic,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='spfa-basic' --stats --csv --timeout='10m' bench/job_shop/jobshop60-2-30-30-4-4-12.smt2,434405896,86043711,6055701489,582084837162,10765325060,1039411811,"1,316","3,332,857,606",,0.434,0.086,6.056,582.085,10.765,1.039
bench/job_shop/jobshop60-2-30-30-4-4-12.smt2,tie-quad,spfa-full,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='spfa-full' --stats --csv --timeout='10m' bench/job_shop/jobshop60-2-30-30-4-4-12.smt2,518589868,6913448,149880822157,126829391572,286801667506,36455598583,"46,207","2,578,741,641",,0.519,0.007,149.881,126.829,286.802,36.456
bench/job_shop/jobshop60-2-30-30-4-4-12.smt2,tie-quad,tarjan,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='tarjan' --stats --csv --timeout='10m' bench/job_shop/jobshop60-2-30-30-4-4-12.smt2,523500228,5982240,151123201705,94097173960,315461342056,39290319527,"50,418","508,192,863",,0.524,0.006,151.123,94.097,315.461,39.290